fold_id,test_subject,n_train,n_test,balanced_accuracy,confusion_matrix,f1,precision,recall,roc_auc
0,Subject203,1037,147,0.5,"[[0, 87], [0, 60]]",0.5797101449275363,0.40816326530612246,1.0,0.685632183908046
1,Subject204,1048,136,0.5,"[[0, 78], [0, 58]]",0.5979381443298969,0.4264705882352941,1.0,0.35344827586206895
2,Subject205,1056,128,0.39166666666666666,"[[1, 79], [11, 37]]",0.45121951219512196,0.31896551724137934,0.7708333333333334,0.31510416666666663
3,Subject207,1074,110,0.6083559782608696,"[[25, 39], [8, 38]]",0.6178861788617886,0.4935064935064935,0.8260869565217391,0.7905910326086957
4,Subject208,1036,148,0.5,"[[0, 88], [0, 60]]",0.5769230769230769,0.40540540540540543,1.0,0.5539772727272727
5,Subject301,1067,117,0.5343283582089553,"[[18, 49], [10, 40]]",0.5755395683453237,0.449438202247191,0.8,0.45850746268656717
6,Subject302,1059,125,0.6053729786124152,"[[36, 35], [16, 38]]",0.5984251968503937,0.5205479452054794,0.7037037037037037,0.6405842462180491
7,Subject303,1051,133,0.4242850445382091,"[[29, 50], [28, 26]]",0.4,0.34210526315789475,0.48148148148148145,0.35818096577590247
8,Subject304,1044,140,0.5027478334390192,"[[82, 1], [56, 1]]",0.03389830508474576,0.5,0.017543859649122806,0.672585077150708
