task,n_windows,true_labels,mean_prediction,correct_detection_rate,expected_class
R,697,[np.int64(0)],0.7259684361549498,0.27403156384505023,0
TASK1,241,[np.int64(1)],0.7053941908713693,0.7053941908713693,1
TASK2,246,[np.int64(1)],0.7642276422764228,0.7642276422764228,1
