fold_id,test_subject,n_train,n_test,balanced_accuracy,confusion_matrix,f1,precision,recall,roc_auc
0,Subject203,1202,150,0.5,"[[0, 90], [0, 60]]",0.5714285714285714,0.4,1.0,0.7683333333333334
1,Subject204,1202,150,0.2722222222222222,"[[4, 86], [30, 30]]",0.3409090909090909,0.25862068965517243,0.5,0.3314814814814815
2,Subject205,1202,150,0.3972222222222222,"[[4, 86], [15, 45]]",0.4712041884816754,0.3435114503816794,0.75,0.3766666666666667
3,Subject207,1201,151,0.5102564102564102,"[[14, 77], [8, 52]]",0.5502645502645502,0.40310077519379844,0.8666666666666667,0.6853479853479854
4,Subject208,1202,150,0.5,"[[0, 90], [0, 60]]",0.5714285714285714,0.4,1.0,0.707037037037037
5,Subject301,1201,151,0.546062271062271,"[[19, 72], [7, 53]]",0.572972972972973,0.424,0.8833333333333333,0.5723443223443223
6,Subject302,1202,150,0.5944444444444444,"[[26, 64], [6, 54]]",0.6067415730337079,0.4576271186440678,0.9,0.6175925925925926
7,Subject303,1202,150,0.6861111111111111,"[[71, 19], [25, 35]]",0.6140350877192983,0.6481481481481481,0.5833333333333334,0.7875925925925926
8,Subject304,1202,150,0.5,"[[0, 90], [0, 60]]",0.5714285714285714,0.4,1.0,0.3035185185185185
