timestamp_utc,packet_index,sample_index,AF3,AF4,F3,F4,FC5,FC6,O2,O1,label
2026-05-26T09:50:57.368+00:00,719,48227,114704.88336144487,73399.73132607118,71742.93062006599,64800.769364925545,372745.96068214905,136763.84231613186,88775.63044734365,107199.39109079732,TASK1
2026-05-26T09:50:57.368+00:00,719,48228,114698.5131142751,73391.48353236717,71733.34172169467,64791.71690842114,372755.0801938868,136751.03476655897,88758.26314190187,107182.82844815594,TASK1
2026-05-26T09:50:57.368+00:00,719,48229,114692.67930897226,73382.43107586277,71723.48460238987,64780.25046351557,372759.90817068913,136735.54500765144,88741.96872019395,107166.26580551456,TASK1
2026-05-26T09:50:57.368+00:00,719,48230,114689.2594920706,73373.37861935838,71716.57791335319,64767.17469300922,372766.6136940257,136717.37303940929,88723.26031008486,107148.63027913932,TASK1
2026-05-26T09:50:57.368+00:00,719,48231,114681.0116983666,73367.27659312208,71708.8665615161,64755.44002717018,372776.80608949735,136703.22438516907,88705.0883418427,107129.92186903022,TASK1
2026-05-26T09:50:57.368+00:00,719,48232,114678.79887566552,73363.45444482022,71704.10563994713,64747.59456486637,372784.0480547009,136695.58008856536,88693.21956553693,107114.29799965596,TASK1
2026-05-26T09:50:57.368+00:00,719,48233,114673.23329129616,73359.49818605163,71699.34471837815,64740.95609676314,372783.57866806735,136687.86873672827,88684.70355089946,107100.68578728267,TASK1
2026-05-26T09:50:57.368+00:00,719,48234,114670.34991626142,73353.93260168226,71694.3155758757,64733.512965859525,372784.6515518012,136675.8658499558,88674.84643159466,107086.268912109,TASK1
2026-05-26T09:50:57.368+00:00,719,48235,114666.39365749282,73349.43990104675,71688.2135496394,64728.21560242362,372787.60198206926,136666.008730651,88663.91642855603,107072.1202578688,TASK1
2026-05-26T09:50:57.368+00:00,719,48236,114663.5102824581,73348.70229347971,71685.33017460466,64725.86866925581,372790.5524123374,136663.39357654972,88657.27796045279,107064.14068509825,TASK1
2026-05-26T09:50:57.368+00:00,719,48237,114661.16334929029,73341.79560444302,71682.44679956994,64719.49842208605,372784.71860703453,136655.41400377918,88651.44415514996,107057.23399606155,TASK1
2026-05-26T09:50:57.368+00:00,719,48238,114656.13420678784,73336.49824100711,71677.95409893442,64711.5188493155,372775.66615053016,136647.16621007517,88641.85525677862,107047.37687675677,TASK1
2026-05-26T09:50:57.368+00:00,719,48239,114651.90972708579,73336.02885437355,71673.99784016583,64707.294369613446,372766.3454730923,136640.52774197195,88637.89899801005,107039.12908305276,TASK1
2026-05-26T09:50:57.368+00:00,719,48240,114647.9534683172,73333.14547933883,71673.79667446573,64705.752099246034,372758.9023421887,136632.81639013486,88636.62494857609,107035.7092661511,TASK1
2026-05-26T09:50:57.368+00:00,719,48241,114641.04677928051,73328.6527787033,71671.44974129793,64698.30896834242,372755.75074622047,136625.64148016472,88629.7182595394,107032.82589111636,TASK1
2026-05-26T09:50:57.368+00:00,719,48242,114637.89518331231,73327.91517113628,71669.37102906358,64694.88915144075,372751.5262665184,136623.83098886383,88629.98648047286,107033.63055391675,TASK1
