fold_id,test_subject,n_train,n_test,balanced_accuracy,confusion_matrix,f1,precision,recall,roc_auc
0,Subject203,1037,147,0.5,"[[0, 87], [0, 60]]",0.5797101449275363,0.40816326530612246,1.0,0.5837164750957855
1,Subject204,1048,136,0.3620689655172414,"[[0, 78], [16, 42]]",0.47191011235955055,0.35,0.7241379310344828,0.22679045092838196
2,Subject205,1056,128,0.4125,"[[1, 79], [9, 39]]",0.46987951807228917,0.3305084745762712,0.8125,0.34375
3,Subject207,1074,110,0.5203804347826086,"[[4, 60], [1, 45]]",0.5960264900662252,0.42857142857142855,0.9782608695652174,0.8631114130434783
4,Subject208,1036,148,0.5,"[[0, 88], [0, 60]]",0.5769230769230769,0.40540540540540543,1.0,0.49109848484848484
5,Subject301,1067,117,0.5017910447761194,"[[19, 48], [14, 36]]",0.5373134328358209,0.42857142857142855,0.72,0.4904477611940299
6,Subject302,1059,125,0.6019822639540949,"[[25, 46], [8, 46]]",0.6301369863013698,0.5,0.8518518518518519,0.7021387584767866
7,Subject303,1051,133,0.3751758087201125,"[[11, 68], [21, 33]]",0.4258064516129032,0.32673267326732675,0.6111111111111112,0.21542428504453823
8,Subject304,1044,140,0.5,"[[0, 83], [0, 57]]",0.5786802030456852,0.40714285714285714,1.0,0.18769816106531387
