task,n_windows,true_labels,mean_prediction,correct_detection_rate,expected_class
R,697,[np.int64(0)],0.9139167862266858,0.08608321377331421,0
TASK1,241,[np.int64(1)],0.7966804979253111,0.7966804979253111,1
TASK2,246,[np.int64(1)],0.9186991869918699,0.9186991869918699,1
