fold_id,test_subject,feature,coefficient,abs_coefficient
0,Subject203,delta_O2,0.12693719507109807,0.12693719507109807
0,Subject203,theta_O2,0.0513719607317992,0.0513719607317992
0,Subject203,alpha_O2,0.16952893530838256,0.16952893530838256
0,Subject203,beta_O2,-0.26940351073742386,0.26940351073742386
0,Subject203,delta_O1,-0.2227509310858007,0.2227509310858007
0,Subject203,theta_O1,-0.059325768111809625,0.059325768111809625
0,Subject203,alpha_O1,-0.2573242204661602,0.2573242204661602
0,Subject203,beta_O1,0.31147659251187093,0.31147659251187093
1,Subject204,delta_O2,0.0020216428382171404,0.0020216428382171404
1,Subject204,theta_O2,0.08655275459796302,0.08655275459796302
1,Subject204,alpha_O2,0.014817782459643204,0.014817782459643204
1,Subject204,beta_O2,-0.02246133199024667,0.02246133199024667
1,Subject204,delta_O1,-0.01805403070888729,0.01805403070888729
1,Subject204,theta_O1,-0.10408860297759247,0.10408860297759247
1,Subject204,alpha_O1,-0.06804878363372342,0.06804878363372342
1,Subject204,beta_O1,-0.0633632581910001,0.0633632581910001
2,Subject205,delta_O2,0.7392110692271858,0.7392110692271858
2,Subject205,theta_O2,0.2966147467537888,0.2966147467537888
2,Subject205,alpha_O2,0.08841365919966314,0.08841365919966314
2,Subject205,beta_O2,-0.7294984709793617,0.7294984709793617
2,Subject205,delta_O1,-0.9929255951239343,0.9929255951239343
2,Subject205,theta_O1,-0.34883941301674265,0.34883941301674265
2,Subject205,alpha_O1,-0.1419087598536054,0.1419087598536054
2,Subject205,beta_O1,0.8193026921852844,0.8193026921852844
3,Subject207,delta_O2,0.04167093700416519,0.04167093700416519
3,Subject207,theta_O2,0.026083924762491596,0.026083924762491596
3,Subject207,alpha_O2,0.0671354416148968,0.0671354416148968
3,Subject207,beta_O2,-0.10674944150658015,0.10674944150658015
3,Subject207,delta_O1,-0.08131252335924266,0.08131252335924266
3,Subject207,theta_O1,-0.031110210736609502,0.031110210736609502
3,Subject207,alpha_O1,-0.11376668453173597,0.11376668453173597
3,Subject207,beta_O1,0.15131934262782665,0.15131934262782665
4,Subject208,delta_O2,0.1281470648782332,0.1281470648782332
4,Subject208,theta_O2,0.05119730489017928,0.05119730489017928
4,Subject208,alpha_O2,0.16929547738267944,0.16929547738267944
4,Subject208,beta_O2,-0.2693732937121146,0.2693732937121146
4,Subject208,delta_O1,-0.2258591129062699,0.2258591129062699
4,Subject208,theta_O1,-0.05915368794592841,0.05915368794592841
4,Subject208,alpha_O1,-0.2574452340842135,0.2574452340842135
4,Subject208,beta_O1,0.3132737789551947,0.3132737789551947
5,Subject301,delta_O2,0.10787067050580737,0.10787067050580737
5,Subject301,theta_O2,0.10312634589488502,0.10312634589488502
5,Subject301,alpha_O2,0.17364224994845484,0.17364224994845484
5,Subject301,beta_O2,-0.33435616448058225,0.33435616448058225
5,Subject301,delta_O1,-0.18806337867203174,0.18806337867203174
5,Subject301,theta_O1,-0.11738772165522462,0.11738772165522462
5,Subject301,alpha_O1,-0.2680918600366799,0.2680918600366799
5,Subject301,beta_O1,0.3907203986444112,0.3907203986444112
6,Subject302,delta_O2,0.11627011600906578,0.11627011600906578
6,Subject302,theta_O2,0.027696798816744035,0.027696798816744035
6,Subject302,alpha_O2,0.21707322837743367,0.21707322837743367
6,Subject302,beta_O2,-0.2596572826796473,0.2596572826796473
6,Subject302,delta_O1,-0.19380824025111817,0.19380824025111817
6,Subject302,theta_O1,-0.03046155757935681,0.03046155757935681
6,Subject302,alpha_O1,-0.3124693150083006,0.3124693150083006
6,Subject302,beta_O1,0.29625456115347637,0.29625456115347637
7,Subject303,delta_O2,-0.20784315476417076,0.20784315476417076
7,Subject303,theta_O2,-0.34579615948200004,0.34579615948200004
7,Subject303,alpha_O2,-0.2536236522278438,0.2536236522278438
7,Subject303,beta_O2,0.2096343581252459,0.2096343581252459
7,Subject303,delta_O1,0.2918578259591394,0.2918578259591394
7,Subject303,theta_O1,0.5066108968229642,0.5066108968229642
7,Subject303,alpha_O1,0.2903563109142581,0.2903563109142581
7,Subject303,beta_O1,-0.31245027251517726,0.31245027251517726
8,Subject304,delta_O2,0.1258540891405593,0.1258540891405593
8,Subject304,theta_O2,0.05056350635220317,0.05056350635220317
8,Subject304,alpha_O2,0.16741490049791966,0.16741490049791966
8,Subject304,beta_O2,-0.2665215310840075,0.2665215310840075
8,Subject304,delta_O1,-0.21890233509438758,0.21890233509438758
8,Subject304,theta_O1,-0.05728778082270475,0.05728778082270475
8,Subject304,alpha_O1,-0.2560273877949443,0.2560273877949443
8,Subject304,beta_O1,0.3098077138840084,0.3098077138840084
