task,n_windows,true_labels,mean_prediction,correct_detection_rate,expected_class
R,697,[np.int64(0)],0.7905308464849354,0.20946915351506457,0
TASK1,241,[np.int64(1)],0.7427385892116183,0.7427385892116183,1
TASK2,246,[np.int64(1)],0.8373983739837398,0.8373983739837398,1
