fold_id,test_subject,n_train,n_test,balanced_accuracy,confusion_matrix,f1,precision,recall,roc_auc
0,Subject203,1037,147,0.5,"[[0, 87], [0, 60]]",0.5797101449275363,0.40816326530612246,1.0,0.5047892720306514
1,Subject204,1048,136,0.5,"[[78, 0], [58, 0]]",0.0,0.0,0.0,0.4860742705570292
2,Subject205,1056,128,0.3875,"[[2, 78], [12, 36]]",0.4444444444444444,0.3157894736842105,0.75,0.23307291666666666
3,Subject207,1074,110,0.6745923913043479,"[[46, 18], [17, 29]]",0.6236559139784946,0.6170212765957447,0.6304347826086957,0.7190896739130436
4,Subject208,1036,148,0.5,"[[0, 88], [0, 60]]",0.5769230769230769,0.40540540540540543,1.0,0.48200757575757575
5,Subject301,1067,117,0.5074626865671642,"[[1, 66], [0, 50]]",0.6024096385542169,0.43103448275862066,1.0,0.43850746268656715
6,Subject302,1059,125,0.5307772561293688,"[[7, 64], [2, 52]]",0.611764705882353,0.4482758620689655,0.9629629629629629,0.504434011476265
7,Subject303,1051,133,0.45557899671823726,"[[12, 67], [13, 41]]",0.5061728395061729,0.37962962962962965,0.7592592592592593,0.2812939521800281
8,Subject304,1044,140,0.5,"[[0, 83], [0, 57]]",0.5786802030456852,0.40714285714285714,1.0,0.5890932149651237
