feature,mean_coefficient,std_coefficient,mean_abs_coefficient,max_abs_coefficient,n_folds
beta_O1,0.24626017213954393,0.312563195907199,0.32977429007425,0.8193026921852844,9
beta_O2,-0.22759851878274645,0.2542623312802945,0.2741839316994678,0.7294984709793617,9
delta_O1,-0.2055353690269481,0.3389865093361487,0.27039266368453463,0.9929255951239343,9
alpha_O1,-0.1538584371661228,0.1859169018746888,0.2183820618137357,0.3124693150083006,9
delta_O2,0.13112662554557344,0.25252559361704546,0.17731399327094474,0.7392110692271858,9
alpha_O2,0.09041089139569217,0.1440497690369351,0.1467717030018797,0.2536236522278438,9
theta_O1,-0.03344931622477829,0.22502346755649885,0.14602951551877036,0.5066108968229642,9
theta_O2,0.038601242590894896,0.16640898617268954,0.11544483358689489,0.34579615948200004,9
