fold_id,test_subject,n_train,n_test,balanced_accuracy,confusion_matrix,f1,precision,recall,roc_auc
0,Subject203,1037,147,0.5666666666666667,"[[58, 29], [32, 28]]",0.47863247863247865,0.49122807017543857,0.4666666666666667,0.6220306513409963
1,Subject204,1048,136,0.748894783377542,"[[59, 19], [15, 43]]",0.7166666666666667,0.6935483870967742,0.7413793103448276,0.8408488063660475
2,Subject205,1056,128,0.45,"[[57, 23], [39, 9]]",0.225,0.28125,0.1875,0.42500000000000004
3,Subject207,1074,110,0.34375,"[[44, 20], [46, 0]]",0.0,0.0,0.0,0.11922554347826088
4,Subject208,1036,148,0.5833333333333334,"[[66, 22], [35, 25]]",0.4672897196261682,0.5319148936170213,0.4166666666666667,0.6215909090909091
5,Subject301,1067,117,0.43791044776119403,"[[56, 11], [48, 2]]",0.06349206349206349,0.15384615384615385,0.04,0.37253731343283586
6,Subject302,1059,125,0.7387845592070945,"[[51, 20], [13, 41]]",0.7130434782608696,0.6721311475409836,0.7592592592592593,0.7968179447052686
7,Subject303,1051,133,0.40799343647444913,"[[63, 16], [53, 1]]",0.028169014084507043,0.058823529411764705,0.018518518518518517,0.31739334270979835
8,Subject304,1044,140,0.4830902557598816,"[[70, 13], [50, 7]]",0.18181818181818182,0.35,0.12280701754385964,0.47812301838934684
