task,n_windows,true_labels,mean_prediction,correct_detection_rate,expected_class
R,697,[np.int64(0)],0.9253945480631277,0.0746054519368723,0
TASK1,241,[np.int64(1)],0.7593360995850622,0.7593360995850622,1
TASK2,246,[np.int64(1)],0.943089430894309,0.943089430894309,1
