timestamp_utc,packet_index,sample_index,AF3,AF4,F3,F4,FC5,FC6,O2,O1,label
2026-05-26T10:00:15.599+00:00,764,51727,212655.8825559476,207226.82264170915,544550.1186907433,544605.5733687369,205073.67909832945,545564.4632058695,545213.2949487322,545338.6211798931,TASK1
2026-05-26T10:00:15.599+00:00,764,51728,212647.90298317707,207226.62147600905,544537.3111411704,544592.765819164,205069.1863976939,545551.3874353633,545200.219178226,545326.0818512538,TASK1
2026-05-26T10:00:15.599+00:00,764,51729,212641.26451507385,207229.84012721063,544530.1362312003,544585.5909091939,205064.6936970584,545544.2125253931,545193.0442682558,545318.9069412836,TASK1
2026-05-26T10:00:15.599+00:00,764,51730,212636.7718144383,207234.13166214604,544530.4044521337,544585.8591301274,205062.88320575753,545544.4807463265,545193.5807101227,545319.1751622171,TASK1
2026-05-26T10:00:15.599+00:00,764,51731,212631.74267193588,207236.27742961375,544529.9350655002,544585.3897434938,205064.4925313583,545543.7431387595,545192.8431025557,545318.43755465,TASK1
2026-05-26T10:00:15.599+00:00,764,51732,212622.95843636495,207236.8138714807,544520.6143880623,544576.3372869894,205067.17474069295,545534.6906822551,545184.0588669847,545309.3850981457,TASK1
2026-05-26T10:00:15.599+00:00,764,51733,212611.49199145936,207238.154976148,544507.8068384894,544563.261516483,205065.0960284586,545521.8831326822,545170.9830964784,545296.5775485728,TASK1
2026-05-26T10:00:15.599+00:00,764,51734,212604.85352335614,207243.25117388382,544500.6319285192,544555.8183855794,205063.82197902465,545514.9764436455,545163.8081865082,545289.4026386025,TASK1
2026-05-26T10:00:15.599+00:00,764,51735,212601.4337064545,207252.37068562157,544501.1683703862,544556.6230483798,205063.08437145763,545515.5128855124,545164.3446283751,545290.2073014029,TASK1
2026-05-26T10:00:15.599+00:00,764,51736,212600.15965702053,207259.88087175856,544502.24125412,544557.6959321137,205064.96191799187,545517.1222111132,545165.9539539759,545291.8166270037,TASK1
2026-05-26T10:00:15.599+00:00,764,51737,212594.86229358462,207262.5630810932,544500.6989837526,544556.1536617463,205063.68786855793,545515.043498879,545164.143462675,545290.0061357028,TASK1
2026-05-26T10:00:15.599+00:00,764,51738,212585.2733952133,207263.63596482706,544489.768980714,544545.2236587076,205058.12228418855,545503.3088330398,545152.9452387029,545278.8079117307,TASK1
2026-05-26T10:00:15.599+00:00,764,51739,212579.171368977,207266.8546160286,544483.1305126108,544538.3169696709,205053.62958355303,545496.6703649367,545146.0385496663,545271.6330017606,TASK1
2026-05-26T10:00:15.599+00:00,764,51740,212575.48333114188,207271.95081376442,544482.6611259772,544538.1158039708,205051.81909225215,545496.4691992366,545145.8373839662,545271.6330017606,TASK1
2026-05-26T10:00:15.599+00:00,764,51741,212572.33173517368,207275.97412776639,544480.3141928094,544535.5006498696,205051.81909225215,545493.5858242018,545143.4904507983,545269.2860685928,TASK1
2026-05-26T10:00:15.599+00:00,764,51742,212567.83903453816,207274.70007833242,544472.3346200389,544526.9846352321,205050.5450428182,545485.0698095644,545134.9744361609,545260.7700539554,TASK1
