fold_id,test_subject,n_train,n_test,balanced_accuracy,confusion_matrix,f1,precision,recall,roc_auc
0,Subject203,1037,147,0.5,"[[0, 87], [0, 60]]",0.5797101449275363,0.40816326530612246,1.0,0.26915708812260536
1,Subject204,1048,136,0.43103448275862066,"[[0, 78], [8, 50]]",0.5376344086021505,0.390625,0.8620689655172413,0.25862068965517243
2,Subject205,1056,128,0.5,"[[0, 80], [0, 48]]",0.5454545454545454,0.375,1.0,0.5807291666666666
3,Subject207,1074,110,0.515625,"[[2, 62], [0, 46]]",0.5974025974025974,0.42592592592592593,1.0,0.5390625000000001
4,Subject208,1036,148,0.5,"[[0, 88], [0, 60]]",0.5769230769230769,0.40540540540540543,1.0,0.2772727272727272
5,Subject301,1067,117,0.5046268656716417,"[[10, 57], [7, 43]]",0.5733333333333334,0.43,0.86,0.6071641791044776
6,Subject302,1059,125,0.5282994261867502,"[[29, 42], [19, 35]]",0.5343511450381679,0.45454545454545453,0.6481481481481481,0.5294731351069379
7,Subject303,1051,133,0.5418424753867792,"[[11, 68], [3, 51]]",0.5895953757225434,0.42857142857142855,0.9444444444444444,0.19971870604781994
8,Subject304,1044,140,0.5,"[[0, 83], [0, 57]]",0.5786802030456852,0.40714285714285714,1.0,0.49122807017543857
